Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link
AIMDW,Ainos Inc. Warrants,1117887.00,,,,,,,
AIN,Albany International Corporation Common Stock,1873545000.00,,,,,,,
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,841697224.00,,,,,,,
AIOT,PowerFleet Inc. Common Stock,623180174.00,,,,,,,
AIP,Arteris Inc. Common Stock,401762218.00,,,,,,,
AIR,AAR Corp. Common Stock,2712228584.00,,,,,,,
AIRE,reAlpha Tech Corp. Common Stock,32546603.00,,,,,,,
AIRG,Airgain Inc. Common Stock,50469928.00,,,,,,,
AIRI,Air Industries Group Common Stock,15174814.00,,,,,,,
AIRJ,AirJoule Technologies Corporation Class A Common Stock,278022128.00,,,,,,,
AIRJW,AirJoule Technologies Corporation Warrant,51373654.00,,,,,,,
AIRO,AIRO Group Holdings Inc. Common Stock,645766787.00,,,,,,,
AIRS,AirSculpt Technologies Inc. Common Stock,402716522.00,,,,,,,
AIRT,Air T Inc. Common Stock,59134012.00,,,,,,,
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,51512570.00,,,,,,,
AISP,Airship AI Holdings Inc. Class A Common Stock,142634786.00,,,,,,,
AISPW,Airship AI Holdings Inc. Warrants,47225835.00,,,,,,,
AIT,Applied Industrial Technologies Inc. Common Stock,9950921770.00,,,,,,,
AIV,Apartment Investment and Management Company Common Stock,1114453507.00,,,,,,,
AIXI,XIAO-I Corporation American Depositary Shares,19811934.00,,,,,,,
AIZ,Assurant Inc. Common Stock,10879510484.00,,,,,,,
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,1029872497.00,,,,,,,
AJG,Arthur J. Gallagher & Co. Common Stock,77625100000.00,,,,,,,
AKA,a.k.a. Brands Holding Corp. Common Stock,122538127.00,,,,,,,
AKAM,Akamai Technologies Inc. Common Stock,11346096831.00,,,,,,,
AKAN,Akanda Corp. Common Shares,2665538.00,,,,,,,
AKBA,Akebia Therapeutics Inc. Common Stock,832555419.00,,,,,,,
AKO/A,Embotelladora Andina S.A.,,,,,,,,
AKO/B,Embotelladora Andina S.A.,,,,,,,,
AKR,Acadia Realty Trust Common Stock,2621571711.00,,,,,,,
AKRO,Akero Therapeutics Inc. Common Stock,3737884802.00,,,,,,,
AKTX,Akari Therapeutics plc ADS,24787196.00,,,,,,,
AL,Air Lease Corporation Class A Common Stock,6729372577.00,,,,,,,
ALAB,Astera Labs Inc. Common Stock,30285127308.00,,,,,,,
ALAR,Alarum Technologies Ltd. American Depositary Share,104774236.00,,,,,,,
ALB,Albemarle Corporation Common Stock,9993634585.00,,,,,,,
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,,,,,,,,
ALBT,Avalon GloboCare Corp. Common Stock,7746920.00,,,,,,,
ALC,Alcon Inc. Ordinary Shares,39475328818.00,,,,,,,
ALCO,Alico Inc. Common Stock,258718982.00,,,,,,,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,0.00,,,,,,,
ALCYU,Alchemy Investments Acquisition Corp 1 Units,0.00,,,,,,,
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,0.00,,,,,,,
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,0.00,,,,,,,
ALDFU,Aldel Financial II Inc. Units,0.00,,,,,,,
ALDFW,Aldel Financial II Inc. Warrants,0.00,,,,,,,
ALDX,Aldeyra Therapeutics Inc. Common Stock,349790234.00,,,,,,,
ALE,Allete Inc.,3722968601.00,,,,,,,
ALEC,Alector Inc. Common Stock,237848973.00,,,,,,,
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,1407048242.00,,,,,,,
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,0.00,,,,,,,
ALFUW,Centurion Acquisition Corp. Warrant,0.00,,,,,,,
ALG,Alamo Group Inc. Common Stock,2560973029.00,,,,,,,
ALGM,Allegro MicroSystems Inc. Common Stock,5708499086.00,,,,,,,
ALGN,Align Technology Inc. Common Stock,10290164801.00,,,,,,,
ALGS,Aligos Therapeutics Inc. Common Stock,64896996.00,,,,,,,
ALGT,Allegiant Travel Company Common Stock,1149822404.00,,,,,,,
ALHC,Alignment Healthcare Inc. Common Stock,3239793982.00,,,,,,,
ALIT,Alight Inc. Class A Common Stock,2071234090.00,,,,,,,
ALK,Alaska Air Group Inc. Common Stock,7239190114.00,,,,,,,
ALKS,Alkermes plc Ordinary Shares,4782309052.00,,,,,,,
ALKT,Alkami Technology Inc. Common Stock,2664528333.00,,,,,,,
ALL,Allstate Corporation (The) Common Stock,53610160202.00,,,,,,,
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,,,,,,,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,,,,,,,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,,,,,,,,
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,,,,,,,,
ALLE,Allegion plc Ordinary Shares,14576739096.00,,,,,,,
ALLO,Allogene Therapeutics Inc. Common Stock,250725563.00,,,,,,,
ALLR,Allarity Therapeutics Inc. Common Stock,22514239.00,,,,,,,
ALLT,Allot Ltd. Ordinary Shares,311985518.00,,,,,,,
ALLY,Ally Financial Inc. Common Stock,12635519673.00,,,,,,,
ALM,Almonty Industries Inc. Common Shares,966049784.00,,,,,,,
ALMS,Alumis Inc. Common Stock,482858361.00,,,,,,,
ALMU,Aeluma Inc. Common Stock,359978693.00,,,,,,,
ALNT,Allient Inc. Common Stock,769053771.00,,,,,,,
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,58528090988.00,,,,,,,
ALOT,AstroNova Inc. Common Stock,86749004.00,,,,,,,
ALRM,Alarm.com Holdings Inc. Common Stock,2925932026.00,,,,,,,
ALRS,Alerus Financial Corporation Common Stock,565575757.00,,,,,,,
ALSN,Allison Transmission Holdings Inc. Common Stock,7300575998.00,,,,,,,
ALT,Altimmune Inc. Common Stock,338025279.00,,,,,,,
ALTG,Alta Equipment Group Inc. Class A Common Stock,267279845.00,,,,,,,
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),,,,,,,,
ALTI,AlTi Global Inc. Class A Common Stock,635009105.00,,,,,,,
ALTO,Alto Ingredients Inc. Common Stock,87459404.00,,,,,,,
ALTS,ALT5 Sigma Corporation Common Stock,966161883.00,,,,,,,
ALUR,Allurion Technologies Inc. Common Stock,16845018.00,,,,,,,
ALV,Autoliv Inc. Common Stock,9529471165.00,,,,,,,
ALVO,Alvotech Ordinary Shares,2435571813.00,,,,,,,
ALVOW,Alvotech Warrant,313877904.00,,,,,,,
ALX,Alexander's Inc. Common Stock,1176413179.00,,,,,,,
ALXO,ALX Oncology Holdings Inc. Common Stock,62654827.00,,,,,,,
ALZN,Alzamend Neuro Inc. Common Stock,7067294.00,,,,,,,
AM,Antero Midstream Corporation Common Stock,8512532790.00,,,,,,,
