Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link
ACHV,Achieve Life Sciences Inc. Common Shares,132872917.00,Richard Stewart,25,"22722 29TH DR. SE, SUITE 100 Seattle, WA 98021 United States",,Pharmaceuticals,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ACHV/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACHV?tab=profile"
ACI,Albertsons Companies Inc. Class A Common Stock,10852623298.00,Susan Morris,"195,000","250 E Parkcenter Blvd Boise, ID 83706-3940 United States",,N/A,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ACI/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACI?tab=profile"
ACIC,American Coastal Insurance Corporation Common Stock,532517098.00,Bennett Martz CPA,65,"570 Carillon Parkway, Suite 100 St Petersburg, FL 33716 United States",,Non-Life Insurance,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ACIC?tab=profile,https://www.marketwatch.com/investing/stock/ACIC/company-profile?mod=mw_quote_tab"
ACIU,AC Immune SA Common Stock,207849480.00,Andrea Pfeifer Ph.D.,172,"EPFL Innovation Park, Building B Lausanne 1015 Switzerland",,Biotechnology,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ACIU?tab=profile,https://www.marketwatch.com/investing/stock/ACIU/company-profile?mod=mw_quote_tab"
ACIW,ACI Worldwide Inc. Common Stock,4860862504.00,Thomas Warsop III,"3,103","6060 Coventry Drive Elkhorn, NE 68022 United States",,Software,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ACIW/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACIW?tab=profile"
ACLS,Axcelis Technologies Inc. Common Stock,2493400730.00,Russell Low Ph.D.,"1,524","108 Cherry Hill Dr Beverly, MA 01915 United States",,Semiconductors,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ACLS?tab=profile,https://www.marketwatch.com/investing/stock/ACLS/company-profile?mod=mw_quote_tab"
ACLX,Arcellx Inc. Common Stock,3991377897.00,Rami Elghandour,163,"800 Bridge Parkway Redwood City, CA 94065 United States",,Biotechnology,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ACLX/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACLX?tab=profile"
ACM,AECOM Common Stock,15983595469.00,W. Troy Rudd,"51,000","13355 Noel Road, Suite 400 Dallas, TX 75240 United States",,Construction,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ACM?tab=profile,https://www.marketwatch.com/investing/stock/ACM/company-profile?mod=mw_quote_tab"
ACMR,ACM Research Inc. Class A Common Stock,1601956886.00,Hui Wang,"2,023","42307 Osgood Rd Ste I Fremont, CA 94539-5062 United States",,Semiconductors,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ACMR?tab=profile,https://www.marketwatch.com/investing/stock/ACMR/company-profile?mod=mw_quote_tab"
ACN,Accenture plc Class A Ordinary Shares (Ireland),158279327362.00,Julie Sweet,"774,000","1 Grand Canal Square Grand Canal Harbour, Dublin 2 Dublin D2 Ireland",,Diversified Business Services,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ACN/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACN?tab=profile"
ACNB,ACNB Corporation Common Stock,461517278.00,James Helt,416,"16 Lincoln Square, P O Box 3129 Gettysburg, PA 17325 United States",,Banking,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ACNB/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACNB?tab=profile"
ACNT,Ascent Industries Co. Common Stock,111385544.00,J. Kitchen,452,"20 N. Martingale Rd, Suite 430, Schaumburg, IL 60173 United States",,Iron/Steel,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ACNT?tab=profile,https://www.marketwatch.com/investing/stock/ACNT/company-profile?mod=mw_quote_tab"
ACOG,Alpha Cognition Inc. Common Stock,130160769.00,Michael Mcfadden,N/A,"c/o 1200 - 750 West Pender Street Vancouver, BC V6C 2T8 Canada",,Biotechnology,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ACOG/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACOG?tab=profile"
ACON,Aclarion Inc. Common Stock,4111539.00,Brent Ness,6,"8181 Arista Place, Ste 100 Broomfield, CO 80021 United States",,Software,"CNBCScraper,MarketWatchScraper","https://www.cnbc.com/quotes/ACON?tab=profile,https://www.marketwatch.com/investing/stock/ACON/company-profile?mod=mw_quote_tab"
ACONW,Aclarion Inc. Warrant,24925.00,Brent Ness,6,"8181 Arista Place, Ste 100 Broomfield, CO 80021 United States",,Software,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ACONW/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACONW?tab=profile"
ACP,abrdn Income Credit Strategies Fund Common Shares,0.00,,N/A,"1900 Market Street, Suite 200 Philadelphia, PA 19103 United States",,Closed-End Funds,"CNBCScraper,MarketWatchScraper","https://www.marketwatch.com/investing/stock/ACP/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/ACP?tab=profile"
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,Cezar Peralta Consing,N/A," Ayala Triangle Gardens Tower 2  Paseo de Roxas cor Makati Avenue  37th-39th  Makati City, MM 1226 ",,Diversified Holding Companies,MarketWatchScraper,https://www.marketwatch.com/investing/stock/ACPA/company-profile?mod=mw_quote_tab
